id,hotel_cluster
0,65 40 59 27 47
1,40 40 87 10 12
2,68 63 64 23 36
3,29 4 52 8 3
4,24 59 80 96 33
5,54 82 63 36 82
6,46 53 81 70 67
7,62 26 36 22 49
8,37 83 77 31 42
9,61 28 49 72 95
10,78 22 93 31 45
11,95 60 71 38 57
12,95 34 99 3 18
13,61 85 45 45 9
14,89 49 7 31 33
15,30 27 50 4 15
16,97 72 18 11 17
17,70 6 35 94 32
18,60 67 23 48 65
19,2 84 86 0 65
20,22 25 25 42 15
21,31 41 10 89 48
22,63 64 39 78 34
23,51 9 46 89 36
24,97 40 58 16 32
25,12 65 66 68 75
26,41 40 75 48 57
27,15 71 3 63 18
28,16 22 61 70 69
29,74 32 54 26 39
30,62 90 31 30 60
31,97 24 28 88 82
32,36 88 99 77 66
33,84 71 20 41 24
34,35 33 91 12 71
35,29 99 94 87 29
36,86 0 23 64 98
37,22 3 19 3 86
38,14 85 68 59 91
39,87 53 77 89 65
40,76 23 62 97 34
41,5 32 80 69 90
42,86 36 82 41 45
43,91 47 5 69 44
44,75 23 96 57 12
45,12 48 18 55 60
46,20 45 6 20 68
47,64 49 57 81 36
48,38 46 73 66 0
49,59 27 87 69 98
50,49 50 63 33 71
51,6 84 37 19 17
52,29 16 69 31 60
53,13 38 42 8 67
54,5 51 26 62 99
55,84 82 11 57 65
56,11 90 96 39 38
57,43 46 37 34 85
58,45 44 18 69 93
59,64 68 20 58 14
60,6 95 16 48 44
61,48 83 52 18 98
62,94 81 25 73 65
63,47 21 73 78 32
64,49 90 36 49 42
65,82 64 95 65 74
66,21 41 17 40 83
67,11 61 68 7 71
68,54 61 50 53 71
69,37 95 19 1 25
70,4 26 60 81 86
71,41 81 42 4 40
72,99 41 26 17 56
73,25 81 71 21 24
74,37 17 10 10 57
75,40 4 82 51 44
76,32 72 61 70 5
77,9 40 16 3 45
78,20 78 7 40 96
79,10 66 99 22 80
80,19 62 31 37 3
81,1 73 27 73 8
82,77 96 41 5 63
83,59 78 14 53 81
84,36 46 53 43 51
85,42 48 20 89 36
86,0 38 22 2 74
87,47 62 38 79 57
88,38 15 46 66 53
89,17 75 29 82 50
90,29 65 9 37 23
91,58 6 77 77 36
92,11 55 3 86 0
93,24 59 67 14 75
94,61 54 78 70 63
95,22 25 68 57 1
96,39 27 22 89 56
97,20 94 96 8 93
98,79 37 86 28 84
99,34 60 54 96 79
100,87 48 71 21 64
101,16 60 60 53 21
102,47 99 42 68 75
103,2 81 77 66 98
104,72 9 13 6 61
105,39 74 38 57 42
106,55 19 9 92 96
107,9 49 18 99 0
108,60 67 76 54 98
109,90 79 18 34 14
110,32 95 50 50 26
111,43 48 90 10 53
112,46 97 30 5 64
113,91 35 79 67 81
114,74 36 88 41 23
115,41 5 27 65 6
116,34 62 66 3 62
117,2 85 87 66 43
118,15 34 70 4 87
119,49 45 82 61 3
120,56 7 42 54 31
121,52 84 20 16 70
122,51 29 14 40 68
123,46 67 97 31 95
124,7 64 96 27 49
125,69 72 94 19 37
126,40 75 0 31 29
127,72 14 91 54 6
128,74 68 3 54 64
129,34 36 32 75 5
130,70 82 87 79 53
131,40 59 68 80 33
132,59 81 98 93 91
133,21 64 63 73 49
134,41 21 91 30 36
135,36 36 89 68 47
136,43 41 60 35 28
137,37 70 38 41 99
138,96 18 60 18 29
139,13 31 44 74 34
140,2 74 27 28 17
141,85 46 16 84 58
142,47 58 90 30 31
143,85 23 58 60 19
144,27 35 6 74 81
145,21 35 28 63 41
146,10 23 68 95 43
147,4 95 64 63 89
148,58 27 28 18 20
149,77 93 35 1 60
150,79 53 59 44 7
151,8 62 77 84 96
152,61 65 12 52 38
153,89 73 87 83 38
154,15 46 52 51 4
155,85 1 14 42 82
156,60 90 19 43 86
157,66 84 6 98 34
158,69 26 23 84 66
159,68 42 56 89 19
160,4 62 55 5 59
161,66 38 67 84 27
162,55 39 47 93 0
163,75 2 14 56 17
164,59 29 2 3 8
165,91 94 19 25 85
166,95 46 35 53 37
167,62 28 49 71 7
168,62 21 96 33 13
169,11 7 16 87 37
170,91 29 57 77 72
171,7 77 19 31 79
172,33 55 32 55 2
173,70 4 84 31 63
174,8 42 40 97 28
175,29 49 57 29 91
176,88 62 18 47 50
177,1 85 39 60 53
178,38 85 76 88 25
179,45 87 42 55 69
180,72 1 72 79 17
181,64 59 90 63 80
182,87 85 94 29 19
183,34 19 90 86 79
184,37 82 89 57 6
185,6 27 37 23 22
186,19 9 78 22 47
187,15 26 14 75 85
188,22 84 52 16 89
189,33 80 86 33 24
190,30 26 0 26 39
191,14 50 75 4 31
192,22 3 68 51 30
193,48 89 15 28 24
194,79 33 96 79 71
195,84 58 52 66 9
196,96 81 13 68 99
197,55 60 70 15 98
198,7 67 79 22 42
199,63 11 53 80 96
200,40 78 92 79 73
201,32 95 89 87 85
202,14 0 8 48 3
203,28 85 15 75 6
204,6 38 81 3 58
205,75 65 99 5 98
206,93 74 73 62 56
207,91 66 64 61 43
208,8 57 54 42 81
209,2 5 59 9 35
210,55 19 81 95 10
211,20 45 8 14 32
212,50 74 24 36 21
213,86 43 62 94 80
214,0 41 25 99 15
215,92 33 3 28 50
216,3 33 32 49 43
217,65 54 45 94 82
218,65 44 91 12 13
219,41 81 50 48 11
220,11 88 87 18 7
221,42 89 3 64 70
222,41 37 80 96 31
223,70 48 48 5 72
224,16 41 67 71 6
225,39 55 96 89 8
226,47 66 28 9 14
227,30 69 48 40 55
228,20 40 28 96 42
229,72 53 28 79 65
230,50 3 83 29 78
231,59 63 10 63 54
232,0 33 38 34 39
233,56 65 32 56 38
234,4 74 0 3 29
235,94 39 49 89 4
236,83 77 83 81 79
237,58 69 15 3 90
238,86 67 64 3 61
239,77 16 57 71 37
240,48 37 1 69 60
241,46 45 8 68 60
242,28 76 50 32 72
243,63 63 95 94 49
244,57 19 34 33 32
245,76 77 89 13 93
246,86 67 64 97 57
247,64 71 6 23 39
248,30 6 58 48 17
249,37 24 78 88 65
250,81 82 23 63 60
251,81 26 78 65 61
252,9 77 7 35 22
253,28 61 98 35 36
254,32 63 69 47 5
255,83 85 90 48 19
256,41 70 5 53 79
257,89 5 32 95 39
258,29 6 73 91 36
259,73 44 78 61 94
260,64 44 50 35 28
261,68 19 85 26 51
262,14 25 71 0 25
263,30 51 66 46 15
264,58 75 72 65 54
265,45 2 82 63 68
266,35 94 76 45 20
267,63 30 25 19 97
268,88 42 83 64 26
269,93 3 29 58 78
270,15 60 44 83 61
271,70 77 30 14 96
272,31 62 19 68 61
273,61 47 22 52 65
274,17 70 39 24 27
275,32 6 77 63 4
276,10 77 90 17 17
277,95 71 71 76 20
278,72 0 9 2 75
279,38 62 45 37 7
280,82 59 58 39 98
281,25 85 44 40 23
282,35 41 55 6 92
283,63 35 18 34 79
284,30 49 28 38 75
285,61 94 96 6 84
